timestamp(utc), x, y, z, q1, q2, q3, q4
2022-11-30T14:38:57.417933,56.2,454.6,10.3,4e-05,0.12798,-0.99178,-5e-05
2022-11-30T14:38:57.472434,56.2,454.6,10.3,4e-05,0.12799,-0.99178,-5e-05
2022-11-30T14:38:57.551495,56.2,454.5,10.4,1e-05,-0.12796,0.99178,3e-05
2022-11-30T14:38:57.621492,56.6,454.2,10.6,0.0003,-0.12791,0.99179,-1e-05
2022-11-30T14:38:57.678273,56.5,453.7,10.5,0.00023,-0.12777,0.9918,-4e-05
2022-11-30T14:38:57.742117,56.4,453.3,10.5,0.00015,-0.1278,0.9918,-6e-05
2022-11-30T14:38:57.806227,56.3,453.0,10.4,6e-05,-0.12794,0.99178,-6e-05
2022-11-30T14:38:57.870813,56.2,452.7,10.4,1e-05,0.12802,-0.99177,7e-05
2022-11-30T14:38:57.935458,56.1,452.3,10.3,8e-05,0.12804,-0.99177,7e-05
2022-11-30T14:38:58.000691,56.1,451.9,10.3,0.00012,0.12805,-0.99177,7e-05
2022-11-30T14:38:58.065442,56.1,451.6,10.3,9e-05,0.12805,-0.99177,4e-05
2022-11-30T14:38:58.129597,56.1,451.2,10.3,5e-05,0.12804,-0.99177,2e-05
2022-11-30T14:38:58.195825,56.1,450.8,10.4,4e-05,0.12802,-0.99177,1e-05
2022-11-30T14:38:58.263790,56.1,450.4,10.4,4e-05,0.12798,-0.99178,-1e-05
2022-11-30T14:38:58.330482,56.1,450.1,10.4,5e-05,0.12799,-0.99178,-2e-05
2022-11-30T14:38:58.392997,56.1,449.7,10.4,5e-05,0.12798,-0.99178,-3e-05
2022-11-30T14:38:58.460666,56.1,449.3,10.4,5e-05,0.12797,-0.99178,-4e-05
2022-11-30T14:38:58.517496,56.1,448.9,10.4,5e-05,0.12797,-0.99178,-5e-05
2022-11-30T14:38:58.585855,56.1,448.5,10.4,5e-05,0.12796,-0.99178,-5e-05
2022-11-30T14:38:58.642701,56.1,448.1,10.4,6e-05,0.12795,-0.99178,-6e-05
2022-11-30T14:38:58.708494,56.1,447.7,10.4,6e-05,0.12794,-0.99178,-6e-05
2022-11-30T14:38:58.774072,56.1,447.3,10.4,5e-05,0.12793,-0.99178,-5e-05
2022-11-30T14:38:58.840115,56.1,447.0,10.4,4e-05,0.12793,-0.99178,-5e-05
2022-11-30T14:38:58.905886,56.1,446.6,10.4,4e-05,0.12794,-0.99178,-3e-05
2022-11-30T14:38:58.976512,56.1,446.2,10.4,4e-05,0.12797,-0.99178,0.0
2022-11-30T14:38:59.032818,56.1,445.8,10.4,4e-05,0.12799,-0.99178,1e-05
2022-11-30T14:38:59.102826,56.1,445.4,10.4,4e-05,0.12799,-0.99178,1e-05
2022-11-30T14:38:59.161956,56.1,445.0,10.4,3e-05,0.12798,-0.99178,1e-05
2022-11-30T14:38:59.232231,56.1,444.6,10.4,3e-05,0.12797,-0.99178,1e-05
2022-11-30T14:38:59.289998,56.1,444.2,10.4,3e-05,0.12797,-0.99178,1e-05
2022-11-30T14:38:59.354549,56.1,443.8,10.4,4e-05,0.12797,-0.99178,1e-05
2022-11-30T14:38:59.424315,56.1,443.5,10.4,3e-05,0.12796,-0.99178,0.0
2022-11-30T14:38:59.481708,56.1,443.1,10.4,3e-05,0.12797,-0.99178,0.0
2022-11-30T14:38:59.548732,56.1,442.7,10.4,4e-05,0.12797,-0.99178,0.0
2022-11-30T14:38:59.616885,56.0,442.3,10.4,4e-05,0.12798,-0.99178,0.0
2022-11-30T14:38:59.677690,55.9,442.0,10.4,4e-05,0.12799,-0.99177,1e-05
2022-11-30T14:38:59.742852,55.7,441.6,10.4,3e-05,0.12799,-0.99178,0.0
2022-11-30T14:38:59.807267,55.6,441.2,10.4,4e-05,0.12798,-0.99178,0.0
2022-11-30T14:38:59.872503,55.4,440.9,10.4,3e-05,0.12799,-0.99178,0.0
2022-11-30T14:38:59.943901,55.3,440.5,10.4,3e-05,0.12801,-0.99177,0.0
2022-11-30T14:39:00.012040,55.1,440.2,10.4,3e-05,0.12802,-0.99177,1e-05
2022-11-30T14:39:00.069764,55.0,439.9,10.4,3e-05,0.12803,-0.99177,0.0
2022-11-30T14:39:00.134015,54.7,439.6,10.4,4e-05,0.12803,-0.99177,0.0
2022-11-30T14:39:00.199113,54.4,439.4,10.4,3e-05,0.12802,-0.99177,-1e-05
2022-11-30T14:39:00.264662,54.0,439.2,10.4,3e-05,0.12801,-0.99177,-2e-05
2022-11-30T14:39:00.332319,53.7,439.0,10.4,3e-05,0.12799,-0.99178,-2e-05
2022-11-30T14:39:00.397757,53.3,438.8,10.4,3e-05,0.12798,-0.99178,-3e-05
2022-11-30T14:39:00.453559,53.0,438.8,10.4,3e-05,0.128,-0.99177,-3e-05
2022-11-30T14:39:00.518197,52.6,438.8,10.4,3e-05,0.12804,-0.99177,-4e-05
2022-11-30T14:39:00.587025,52.2,438.9,10.4,3e-05,0.12812,-0.99176,-4e-05
2022-11-30T14:39:00.654628,51.8,439.0,10.4,3e-05,0.12818,-0.99175,-4e-05
2022-11-30T14:39:00.719800,51.4,439.1,10.4,3e-05,0.12823,-0.99174,-4e-05
2022-11-30T14:39:00.783853,51.0,439.1,10.4,3e-05,0.12822,-0.99175,-4e-05
2022-11-30T14:39:00.848801,50.6,439.1,10.4,3e-05,0.12815,-0.99176,-3e-05
2022-11-30T14:39:00.916036,50.3,439.1,10.4,2e-05,0.12807,-0.99176,-2e-05
2022-11-30T14:39:00.973097,49.9,439.2,10.4,2e-05,0.12802,-0.99177,-2e-05
2022-11-30T14:39:01.043051,49.6,439.4,10.4,2e-05,0.128,-0.99177,-1e-05
2022-11-30T14:39:01.100379,49.3,439.6,10.4,2e-05,0.12801,-0.99177,-1e-05
2022-11-30T14:39:01.165042,48.9,439.7,10.4,2e-05,0.12801,-0.99177,0.0
2022-11-30T14:39:01.230954,48.6,439.9,10.4,2e-05,0.12802,-0.99177,1e-05
2022-11-30T14:39:01.297197,48.3,440.1,10.4,2e-05,0.12802,-0.99177,1e-05
2022-11-30T14:39:01.365046,47.9,440.3,10.4,3e-05,0.12802,-0.99177,2e-05
2022-11-30T14:39:01.422685,47.6,440.5,10.4,3e-05,0.12801,-0.99177,2e-05
2022-11-30T14:39:01.491647,47.2,440.7,10.4,4e-05,0.12801,-0.99177,3e-05
2022-11-30T14:39:01.558592,46.9,440.9,10.4,4e-05,0.12802,-0.99177,3e-05
2022-11-30T14:39:01.618247,46.6,441.1,10.4,4e-05,0.128,-0.99177,1e-05
2022-11-30T14:39:01.682709,46.2,441.3,10.4,4e-05,0.12799,-0.99178,0.0
2022-11-30T14:39:01.747464,45.9,441.5,10.4,4e-05,0.12798,-0.99178,0.0
2022-11-30T14:39:01.812811,45.6,441.7,10.4,4e-05,0.12797,-0.99178,0.0
2022-11-30T14:39:01.878298,45.3,441.9,10.4,3e-05,0.12798,-0.99178,0.0
2022-11-30T14:39:01.949953,44.9,442.1,10.4,3e-05,0.12799,-0.99178,0.0
2022-11-30T14:39:02.008158,44.6,442.3,10.4,4e-05,0.128,-0.99177,0.0
2022-11-30T14:39:02.072775,44.2,442.5,10.4,3e-05,0.12799,-0.99177,0.0
2022-11-30T14:39:02.137285,43.9,442.7,10.4,3e-05,0.12799,-0.99178,1e-05
2022-11-30T14:39:02.205616,43.6,442.8,10.4,3e-05,0.12799,-0.99178,0.0
2022-11-30T14:39:02.271263,43.2,443.1,10.4,4e-05,0.128,-0.99177,0.0
2022-11-30T14:39:02.332108,42.9,443.3,10.4,3e-05,0.128,-0.99177,-1e-05
